Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Mapping project name,ESCO - SE NOC,,,,,,
Mapping project author,default-author,,,,,,
Mapping project version,,,,,,,
Mapping project version date,csv_generator$today@1751f89f,,,,,,
Classification 1 Name,Esco - yrken,,,,,,
Classification 1 Concept type,Occupation,,,,,,
Classification 1 Version,1.1.1,,,,,,
Classification 1 Language,sv,,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,,
Classification 2 Name,Swedish Standard Classification of Occupations 2012,,,,,,
Classification 2 Concept type,Occupation,,,,,,
Classification 2 Version,18,,,,,,
Classification 2 Language,sv,,,,,,
Classification 2 Landing page,https://atlas.jobtechdev.se/,,,,,,
,,,,,,,
,,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation,Editorial note
http://data.europa.eu/esco/occupation/26a86453-4236-49a3-ae3a-313c1cacb5ff,båtmontör,http://data.europa.eu/esco/occupation/26a86453-4236-49a3-ae3a-313c1cacb5ff,http://data.jobtechdev.se/taxonomy/concept/kBdt_K9U_vgC,Båtbyggare,http://data.jobtechdev.se/taxonomy/concept/kBdt_K9U_vgC,skos:exactMatch,
http://data.europa.eu/esco/occupation/cadbf9af-1da0-406f-8282-b6d27a7e1a74,golvriggare,http://data.europa.eu/esco/occupation/cadbf9af-1da0-406f-8282-b6d27a7e1a74,http://data.jobtechdev.se/taxonomy/concept/s8L4_bRy_BqF,Roddare/Roadie,http://data.jobtechdev.se/taxonomy/concept/s8L4_bRy_BqF,skos:exactMatch,
http://data.europa.eu/esco/occupation/19cb84ca-952e-4f33-b31a-c918db074a6e,takriggare,http://data.europa.eu/esco/occupation/19cb84ca-952e-4f33-b31a-c918db074a6e,http://data.jobtechdev.se/taxonomy/concept/s8L4_bRy_BqF,Roddare/Roadie,http://data.jobtechdev.se/taxonomy/concept/s8L4_bRy_BqF,skos:exactMatch,
http://data.europa.eu/esco/occupation/6cfba9ca-f9a0-4a50-a8d3-064d88c928b1,roddare,http://data.europa.eu/esco/occupation/6cfba9ca-f9a0-4a50-a8d3-064d88c928b1,http://data.jobtechdev.se/taxonomy/concept/s8L4_bRy_BqF,Roddare/Roadie,http://data.jobtechdev.se/taxonomy/concept/s8L4_bRy_BqF,skos:exactMatch,
http://data.europa.eu/esco/occupation/8c778238-98a4-4fec-a828-a4e978fb7a64,tältmontör,http://data.europa.eu/esco/occupation/8c778238-98a4-4fec-a828-a4e978fb7a64,http://data.jobtechdev.se/taxonomy/concept/e8Xd_c8d_CqZ,Riggare och kabelsplitsare,http://data.jobtechdev.se/taxonomy/concept/e8Xd_c8d_CqZ,skos:broadMatch,
http://data.europa.eu/esco/occupation/18459eb0-5506-4692-9889-d1f9a2b989eb,"CNC-operatör, gravering",http://data.europa.eu/esco/occupation/18459eb0-5506-4692-9889-d1f9a2b989eb,http://data.jobtechdev.se/taxonomy/concept/EvmU_s9w_euP,CNC-operatör/FMS-operatör,http://data.jobtechdev.se/taxonomy/concept/EvmU_s9w_euP,skos:broadMatch,
http://data.europa.eu/esco/occupation/7d9242d3-2a55-45e3-9d67-be76f879de0b,"svarvare, metall",http://data.europa.eu/esco/occupation/7d9242d3-2a55-45e3-9d67-be76f879de0b,http://data.jobtechdev.se/taxonomy/concept/AsUQ_NKv_XeC,Svarvare,http://data.jobtechdev.se/taxonomy/concept/AsUQ_NKv_XeC,skos:broadMatch,
http://data.europa.eu/esco/occupation/a1c9f8b7-c4ce-4b15-ac3c-3378c300d8f2,"fräsare, metall",http://data.europa.eu/esco/occupation/a1c9f8b7-c4ce-4b15-ac3c-3378c300d8f2,http://data.jobtechdev.se/taxonomy/concept/sYfN_TaY_zXX,Fräsare,http://data.jobtechdev.se/taxonomy/concept/sYfN_TaY_zXX,skos:exactMatch,
http://data.europa.eu/esco/occupation/a1c9f8b7-c4ce-4b15-ac3c-3378c300d8f2,"fräsare, metall",http://data.europa.eu/esco/occupation/a1c9f8b7-c4ce-4b15-ac3c-3378c300d8f2,http://data.jobtechdev.se/taxonomy/concept/EvmU_s9w_euP,CNC-operatör/FMS-operatör,http://data.jobtechdev.se/taxonomy/concept/EvmU_s9w_euP,skos:broadMatch,
http://data.europa.eu/esco/occupation/0f905036-055f-41d9-b292-e3c02617a193,"maskinoperatör, mekanisk verkstad, brikettmaskin",http://data.europa.eu/esco/occupation/0f905036-055f-41d9-b292-e3c02617a193,http://data.jobtechdev.se/taxonomy/concept/Z4Tt_Gwt_NGP,"Maskinoperatör, mekanisk verkstad",http://data.jobtechdev.se/taxonomy/concept/Z4Tt_Gwt_NGP,skos:broadMatch,
