Mapping project name,ESCO - SE NSC;
Mapping project author,default-author;
Mapping project version,N/A;
Mapping project version date,45243;
Classification 1 Name,Esco - kompetenser;
Classification 1 Concept type,Skills;
Classification 1 Version,1.0.9;
Classification 1 Language,sv;
Classification 1 Landing page,https://ec.europa.eu/esco/portal/skill;
Classification 2 Name,Swedish skills;
Classification 2 Concept type,Skill;
Classification 2 Version,21;
Classification 2 Language,sv;
Classification 2 Landing page,https://atlas.jobtechdev.se/;
,;
,;
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation,Editorial note;
http://data.europa.eu/esco/skill/0a48d064-dd04-47fb-a00d-85e9b4874033,affärsledningsprinciper,,http://data.jobtechdev.se/taxonomy/concept/VfP9_2xd_g2h,Företagsekonomi,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/0a48d064-dd04-47fb-a00d-85e9b4874033,affärsledningsprinciper,,http://data.jobtechdev.se/taxonomy/concept/LQX6_t5s_aro,Småföretagarekonomi,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/be252635-341e-4b1c-b94f-aef362b645ed,affärslån,,http://data.jobtechdev.se/taxonomy/concept/VfP9_2xd_g2h,Företagsekonomi,,skos:broadMatch,;
http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5,affärsprocesser,,http://data.jobtechdev.se/taxonomy/concept/TzHP_38y_mhm,Affärsutveckling,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/341c4478-c976-4ff0-a102-cfd92174d873,affärsrätt,,http://data.jobtechdev.se/taxonomy/concept/PFWV_Si2_w7i,Företagsrekonstruktioner,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/341c4478-c976-4ff0-a102-cfd92174d873,affärsrätt,,http://data.jobtechdev.se/taxonomy/concept/VUpS_Usc_Qdu,Köprätt,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/341c4478-c976-4ff0-a102-cfd92174d873,affärsrätt,,http://data.jobtechdev.se/taxonomy/concept/iLDD_cky_Lir,Marknadsrätt,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/341c4478-c976-4ff0-a102-cfd92174d873,affärsrätt,,http://data.jobtechdev.se/taxonomy/concept/NYbU_buD_WVZ,Bolagsrätt,,skos:exactMatch,;
http://data.europa.eu/esco/skill/bd698bbe-7003-4508-b422-46c2ff4d5e95,affärsstrategikoncept,,http://data.jobtechdev.se/taxonomy/concept/TzHP_38y_mhm,Affärsutveckling,,skos:broadMatch,;
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/Ygao_Vsn_eJ2,""Microsoft Dynamics NAV, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/9pKg_zXP_9ig,""Pyramid, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/1FbS_vYp_DC3,""Monitor, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/9dFi_QaL_PMB,""Scala, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/vdMK_kuP_Nr9,""Intentia, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/e47M_NXa_4NG,""Microsoft Navision, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/gn9Y_yYC_LiH,""SAP R/3, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/z9qQ_ei6_Mjs,""IFS Applications, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/ZhnF_cSc_p9V,""Microsoft Axapta, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/TAmq_TZR_Lmf,""Caesar, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/TSwW_JGd_J52,""Marathon, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/cmrN_Uff_Nyc,""JD Edwards, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/xTAP_Hr6_JrB,""SoftOne, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/H2yF_VoB_Pxi,""Compiere, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/D7RV_iq7_KE4,""Fortnox, affärssystem"",,skos:narrowMatch,";
http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/MzEe_uWV_Ph6,Olf (order-lager-fakturering),,skos:narrowMatch,;
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/2ghM_Tqc_xxw,""24Seven Office, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/gGGa_vb1_jhX,""BAAN, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/s6Ui_k2K_kf2,""Oracle, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/CVTD_iab_JgP,""Jeeves, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/hTcc_jPm_dwc,""Microsoft Dynamics AX, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/AzHc_kX3_veu,""Affärssystem, produktkunskap"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/WVJF_FXY_Sqk,""Mapics, affärssystem"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,,http://data.jobtechdev.se/taxonomy/concept/wouu_4yY_SkR,""IBS, affärssystem"",,skos:narrowMatch,";
