Mapping project name,ESCO to Dutch NOC,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Mapping project author,default-author,,,,,
Mapping project version,,,,,,
Mapping project version date,22-8-2021,,,,,
Classification 1 Name,ESCO mapping,,,,,
Classification 1 Concept type,Occupation,,,,,
Classification 1 Version,1.0.3,,,,,
Classification 1 Language,nl,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,
Classification 2 Name,Dutch NOC,,,,,
Classification 2 Concept type,occupations,,,,,
Classification 2 Version,21.1,,,,,
Classification 2 Language,nl,,,,,
Classification 2 Landing page,,,,,,
,,,,,,
,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/95f56fc4-99f9-49da-b942-1dfbc857e933,cabin crew manager,http://data.europa.eu/esco/occupation/95f56fc4-99f9-49da-b942-1dfbc857e933,11393,Purser (luchtvaart),,skos:exactMatch
http://data.europa.eu/esco/occupation/58ff0ec2-08ba-4b21-b765-babb6d76ca36,steward/stewardess,http://data.europa.eu/esco/occupation/58ff0ec2-08ba-4b21-b765-babb6d76ca36,12528,"Steward bus, touringcar",,skos:narrowMatch
http://data.europa.eu/esco/occupation/6a2270bc-3f69-4cfd-b99b-fdc2c70d1779,ship steward/ship stewardess,http://data.europa.eu/esco/occupation/6a2270bc-3f69-4cfd-b99b-fdc2c70d1779,12529,Steward passagiersschip,,skos:exactMatch
http://data.europa.eu/esco/occupation/fa1aef45-49a4-4446-94b4-e2b563d9d025,train attendant,http://data.europa.eu/esco/occupation/fa1aef45-49a4-4446-94b4-e2b563d9d025,1000400585,Treinsteward horeca,,skos:exactMatch
http://data.europa.eu/esco/occupation/9653fb92-ad48-4865-a471-f270302fa93b,railway passenger service agent,http://data.europa.eu/esco/occupation/9653fb92-ad48-4865-a471-f270302fa93b,1000408156,Perronopzichter,,skos:exactMatch
http://data.europa.eu/esco/occupation/b5d76ddd-f59a-491a-9543-f6c0e2d8a950,tour operator representative,http://data.europa.eu/esco/occupation/b5d76ddd-f59a-491a-9543-f6c0e2d8a950,1000406695,Host toerisme,,skos:exactMatch
http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,guide,http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,10173,Museumgids,,skos:narrowMatch
http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,cook,http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,6951,Basiskok,,skos:narrowMatch
http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,cook,http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,1000400627,Eerste medewerker keuken,,skos:narrowMatch
http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,cook,http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,1000000512,Kok Arabisch,,skos:narrowMatch
http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,cook,http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,1000000513,Kok Aziatisch,,skos:narrowMatch
http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,cook,http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,1000000510,"Kok Balkan, Turks, Grieks",,skos:narrowMatch
http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,cook,http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,1000000511,"Kok Zuid-Amerikaans, Midden-Amerikaans",,skos:narrowMatch
http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,cook,http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,11846,Scheepskok,,skos:narrowMatch
