Mapping project name,ESCO - Национална класификация,,,,,
Mapping project author,default-author,,,,,
Mapping project version,N/A,,,,,
Mapping project version date,2022-03-21,,,,,
Classification 1 Name,Професии в ESCO,,,,,
Classification 1 Concept type,Occupation,,,,,
Classification 1 Version,1.0.3,,,,,
Classification 1 Language,bg,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,
Classification 2 Name,Национална класификация на професиите и длъжностите,,,,,
Classification 2 Concept type,occupations,,,,,
Classification 2 Version,2011,,,,,
Classification 2 Language,bg,,,,,
Classification 2 Landing page,https://mlsp.government.bg/nkpd/,,,,,
,,,,,,
,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/isco/C3352,"Служители в държавната администрация, извършващи данъчен и финансов контрол",http://data.europa.eu/esco/isco/C3352,http://data.europa.eu/esco/concept/bulgarian-occupations/33525006,Старши финансов ревизор,,skos:narrowMatch
http://data.europa.eu/esco/occupation/1e2aaeff-5bf1-4649-9f09-9ebbd5cc3501,"чертожник, електромеханика",http://data.europa.eu/esco/occupation/1e2aaeff-5bf1-4649-9f09-9ebbd5cc3501,http://data.europa.eu/esco/concept/bulgarian-occupations/31183011,"Чертожник, механика",,skos:closeMatch
http://data.europa.eu/esco/occupation/39e06c20-d262-44f9-a6a8-a0f3ba9e887c,"оператор, производство на сапун",http://data.europa.eu/esco/occupation/39e06c20-d262-44f9-a6a8-a0f3ba9e887c,http://data.europa.eu/esco/isco/C8131,Машинни оператори в химическото производство,,skos:broadMatch
http://data.europa.eu/esco/occupation/3d616092-b4fd-4c14-b0e9-a9119bbbd171,музикален терапевт,http://data.europa.eu/esco/occupation/3d616092-b4fd-4c14-b0e9-a9119bbbd171,http://data.europa.eu/esco/isco/C2269,"Други здравни специалисти, некласифицирани другаде",,skos:broadMatch
http://data.europa.eu/esco/occupation/e9cf8b24-6b8b-47cc-9dd3-b601aa135960,"председател, групи със специални интереси",http://data.europa.eu/esco/occupation/e9cf8b24-6b8b-47cc-9dd3-b601aa135960,http://data.europa.eu/esco/concept/bulgarian-occupations/11209028,"Заместник-председател управителен съвет, Централен кооперативен съюз",,skos:narrowMatch
http://data.europa.eu/esco/isco/C8152,Машинни оператори в тъкачното производство,http://data.europa.eu/esco/isco/C8152,http://data.europa.eu/esco/concept/bulgarian-occupations/81522027,"Работник, десенатор на тъкани",,skos:narrowMatch
http://data.europa.eu/esco/occupation/f8438d21-c726-4534-8d7c-1c5aa9ef05ef,"работник, пране и чистене на пердета и килими",http://data.europa.eu/esco/occupation/f8438d21-c726-4534-8d7c-1c5aa9ef05ef,http://data.europa.eu/esco/concept/bulgarian-occupations/91290001,"Работник, чистач на килими",,skos:closeMatch
http://data.europa.eu/esco/isco/C3333,Трудови посредници,http://data.europa.eu/esco/isco/C3333,http://data.europa.eu/esco/concept/bulgarian-occupations/33333002,Професионален консултант,,skos:narrowMatch
http://data.europa.eu/esco/occupation/96be6ac3-5932-4bfc-933d-84b267d0d486,куратор,http://data.europa.eu/esco/occupation/96be6ac3-5932-4bfc-933d-84b267d0d486,http://data.europa.eu/esco/concept/bulgarian-occupations/26216010,Куратор,,skos:exactMatch
http://data.europa.eu/esco/isco/C7222,Производители на инструменти и сродни на тях,http://data.europa.eu/esco/isco/C7222,http://data.europa.eu/esco/concept/bulgarian-occupations/72221001,"Плетач, синджири",,skos:narrowMatch
http://data.europa.eu/esco/isco/C7211,"Металурзи, леяри на метали, сърцари и сродни на тях",http://data.europa.eu/esco/isco/C7211,http://data.europa.eu/esco/concept/bulgarian-occupations/72112052,Термист,,skos:narrowMatch
http://data.europa.eu/esco/occupation/622b1d5e-bf14-4ec0-b83e-3bfcf8dff624,"машинен оператор, сондажно оборудване",http://data.europa.eu/esco/occupation/622b1d5e-bf14-4ec0-b83e-3bfcf8dff624,http://data.europa.eu/esco/concept/bulgarian-occupations/81132011,"Оператор, черпещи сонди и киселинни магистрали",,skos:narrowMatch
http://data.europa.eu/esco/occupation/bffbe18a-cb8b-4f90-bd87-7505cd3b16f5,"оптик, оптометрист",http://data.europa.eu/esco/occupation/bffbe18a-cb8b-4f90-bd87-7505cd3b16f5,http://data.europa.eu/esco/concept/bulgarian-occupations/22674001,"Оптик, оптометрист",,skos:exactMatch
http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,"специалист, уреждане на застрахователни претенции",http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,http://data.europa.eu/esco/concept/bulgarian-occupations/43122010,"Отчетник, уреждане на застрахователни полици",,skos:closeMatch
http://data.europa.eu/esco/occupation/dc90cee4-bf4a-4d62-b729-faf49e62643e,"кранист, товарене и разтоварване на контейнери",http://data.europa.eu/esco/occupation/dc90cee4-bf4a-4d62-b729-faf49e62643e,http://data.europa.eu/esco/concept/bulgarian-occupations/83432001,Кранист,,skos:closeMatch
http://data.europa.eu/esco/occupation/81f6a814-1f4e-47d4-9c75-47977c7267ee,машинист,http://data.europa.eu/esco/occupation/81f6a814-1f4e-47d4-9c75-47977c7267ee,http://data.europa.eu/esco/concept/bulgarian-occupations/83112010,"Машинист, подземна железница, метро",,skos:narrowMatch
http://data.europa.eu/esco/occupation/4ae3ad16-2d33-406c-8497-c66f7d61b914,специализиран продавач-консултант на стоки втора употреба,http://data.europa.eu/esco/occupation/4ae3ad16-2d33-406c-8497-c66f7d61b914,http://data.europa.eu/esco/concept/bulgarian-occupations/52232001,Продавач-консултант,,skos:broadMatch
