Mapping project name,ESCO - Lithuanian Classification of Occupations,,,,,
Mapping project author,Ministry of the Economy and Innovation of the Republic of Lithuania,,,,,
Mapping project version,V1.0,,,,,
Mapping project version date,2021-03-15,,,,,
Classification 1 Name,Profesijos ESCO,,,,,
Classification 1 Concept type,occupation,,,,,
Classification 1 Version,1.0.8,,,,,
Classification 1 Language,lt,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,
Classification 2 Name,Lietuvos profesijų klasifikatorius,,,,,
Classification 2 Concept type,occupation,,,,,
Classification 2 Version,ESCO LPK,,,,,
Classification 2 Language,lt,,,,,
Classification 2 Landing page,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=,,,,,
,,,,,,
,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021006,Seržantas {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021006,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021007,Jaunesnysis seržantas {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021007,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021008,Vyresnysis puskarininkis {karinės oro pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021008,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021009,Puskarininkis {karinės oro pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021009,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021010,Jaunesnysis puskarininkis {karinės oro pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021010,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021011,Viršila {karinės oro pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021011,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021012,Vyresnysis seržantas {karinės oro pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021012,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021013,Seržantas {karinės oro pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021013,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021014,Jaunesnysis seržantas {karinės oro pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021014,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021015,Vyresnysis puskarininkis {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021015,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021016,Puskarininkis {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021016,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021017,Jaunesnysis puskarininkis {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021017,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021018,Laivūnas {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021018,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021019,Vyresnysis seržantas {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021019,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021020,Seržantas {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021020,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021021,Jaunesnysis seržantas {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021021,skos:narrowMatch
http://data.europa.eu/esco/occupation/4a3f40a8-0587-494c-b8d3-7098b8c5992f,armijos kapralas,http://data.europa.eu/esco/occupation/4a3f40a8-0587-494c-b8d3-7098b8c5992f,0210,"Ginkluotųjų pajėgų puskarininkiai"","" seržantai ir viršilos",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=0210,skos:narrowMatch
http://data.europa.eu/esco/occupation/cb3b2662-774a-4e6f-841e-f120244d7031,seržantas,http://data.europa.eu/esco/occupation/cb3b2662-774a-4e6f-841e-f120244d7031,0210,"Ginkluotųjų pajėgų puskarininkiai"","" seržantai ir viršilos",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=0210,skos:narrowMatch
http://data.europa.eu/esco/occupation/1de91afd-9da2-47ab-a7e7-19bf931709a4,specialiųjų pajėgų karininkas,http://data.europa.eu/esco/occupation/1de91afd-9da2-47ab-a7e7-19bf931709a4,0210,"Ginkluotųjų pajėgų puskarininkiai"","" seržantai ir viršilos",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=0210,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,karybos specialistas,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,0210,"Ginkluotųjų pajėgų puskarininkiai"","" seržantai ir viršilos",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=0210,skos:narrowMatch
http://data.europa.eu/esco/isco/C0310,"Ginkluotųjų pajėgų profesijos"","" kiti laipsniai",http://data.europa.eu/esco/isco/C0310,031001,Grandinis {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=031001,skos:narrowMatch
http://data.europa.eu/esco/isco/C0310,"Ginkluotųjų pajėgų profesijos"","" kiti laipsniai",http://data.europa.eu/esco/isco/C0310,031002,Eilinis {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=031002,skos:narrowMatch
http://data.europa.eu/esco/isco/C0310,"Ginkluotųjų pajėgų profesijos"","" kiti laipsniai",http://data.europa.eu/esco/isco/C0310,031003,Grandinis {karinės oro pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=031003,skos:narrowMatch
http://data.europa.eu/esco/isco/C0310,"Ginkluotųjų pajėgų profesijos"","" kiti laipsniai",http://data.europa.eu/esco/isco/C0310,031004,Eilinis {karinės oro pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=031004,skos:narrowMatch
http://data.europa.eu/esco/isco/C0310,"Ginkluotųjų pajėgų profesijos"","" kiti laipsniai",http://data.europa.eu/esco/isco/C0310,031005,Grandinis {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=031005,skos:narrowMatch
http://data.europa.eu/esco/isco/C0310,"Ginkluotųjų pajėgų profesijos"","" kiti laipsniai",http://data.europa.eu/esco/isco/C0310,031006,Jūreivis {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=031006,skos:narrowMatch
