,,,,,
Mapping project name,ESCO - Kompetenzenzsystematik,,,,
Mapping project author,Bundesagentur für Arbeit,,,,
Mapping project version,20220518,,,,
Mapping project version date,2022-05-18,,,,
Classification 1 Name,ESCO,,,,
Classification 1 Concept type,skill,,,,
Classification 1 Version,1.0.3,,,,
Classification 1 Language,de,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/skill,,,,
Classification 2 Name,Kompetenzsystematik,,,,
Classification 2 Concept type,skill,,,,
Classification 2 Version,20220518,,,,
Classification 2 Language,de,,,,
Classification 2 Landing page,,,,,
,,,,,
,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 2 ID,Classification 2 PrefLabel,Mapping relation,Editorial note
http://data.europa.eu/esco/skill/0196d283-9b1a-43a5-b219-43580c7cf560,"Inhaltsstoffe von Kosmetika","K 090202-001","Biologische/naturheilkundliche Kosmetik",skos:closeMatch,
http://data.europa.eu/esco/skill/0196d283-9b1a-43a5-b219-43580c7cf560,"Inhaltsstoffe von Kosmetika","K 1314-007","Körperpflege-, Kosmetik-, Parfümeriewaren",skos:closeMatch,
http://data.europa.eu/esco/skill/01a6e6ae-32d5-440a-bdb3-c9ed8a1f57c0,"Erfahrungen im Umgang mit der Sicherheit von Gästen","K 17-066","Sicherheitsunternehmen",skos:closeMatch,
http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521,"zu Baumaterialien beraten","K 030203-014","Kundenberatung, -betreuung",skos:narrowMatch,
http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521,"zu Baumaterialien beraten","K 131006-000","Baustoffe, Baubedarf",skos:closeMatch,
http://data.europa.eu/esco/skill/01c4bbed-0449-44c9-9c05-48c30ffdcc22,"rotierende Ausrüstungen warten","K 010205-003","Wartung, Reparatur, Instandhaltung",skos:narrowMatch,
http://data.europa.eu/esco/skill/01d3d692-dcba-4544-82d2-fc27726bdbbc,"Pumpvorrichtungen für Einlagerungszwecke","K 130302-012","Pumpenanlagen",skos:narrowMatch,
http://data.europa.eu/esco/skill/01d80f57-3906-44e9-8592-fd1bd8a35808,"biomedizinische und medizinische Wissenschaften im Zusammenhang mit der Zahnmedizin","K 090212-009","Zahn-, Mund-, Kieferheilkunde (ärztlich)",skos:closeMatch,
http://data.europa.eu/esco/skill/01e5d2e2-d368-4fb9-9be9-9923146482c4,"Details des Gussverfahrens beobachten","K 011102-010","Gießen (Metall)",skos:narrowMatch,
http://data.europa.eu/esco/skill/01e66e1c-97d9-4829-bee1-f3ab649161e8,"biomedizinische Wissenschaften","K 0810-050","Biomedizin",skos:exactMatch,
http://data.europa.eu/esco/skill/01f10952-cb59-4347-9aee-d4fbc51c870a,"Ungarisch schreiben","K 11-080","Ungarisch",skos:narrowMatch,
http://data.europa.eu/esco/skill/01f91b5b-3e2f-40a2-ab88-bc8113c0ab37,"Bohrspülung überwachen","K 0201-008","Erdbohrungen",skos:closeMatch,
http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750,"Effizienzpläne für die Seeschifffahrt entwickeln","K 17-065","Seefahrt",skos:closeMatch,
http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8,"Verpackungsmaschinen bedienen","K 010202-030","Maschinenführung, Anlagenführung, -bedienung",skos:narrowMatch,
http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8,"Verpackungsmaschinen bedienen","K 010502-000","Abfüllen",skos:narrowMatch,
http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8,"Verpackungsmaschinen bedienen","K 0400-057","Verpacken",skos:narrowMatch,
http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8,"Verpackungsmaschinen bedienen","K 130300-010","Verpackungsmaschinen",skos:closeMatch,
http://data.europa.eu/esco/skill/01ffbbf3-0c62-45e0-92d9-01a86dc7c81d,"über den Umgang mit Tonprodukten aufklären","K 010002-032","Ziegel, baukeramische Produkte herstellen",skos:closeMatch,
http://data.europa.eu/esco/skill/0200e5e6-218d-4dae-b1ab-250382250ecb,"Bohrausrüstung warten","K 010205-003","Wartung, Reparatur, Instandhaltung",skos:narrowMatch,
http://data.europa.eu/esco/skill/0200e5e6-218d-4dae-b1ab-250382250ecb,"Bohrausrüstung warten","K 131102-000","Bohrgeräte (Erdbohrungen)",skos:closeMatch,
http://data.europa.eu/esco/skill/02053349-bc3a-4945-bcf7-33d2136c14d5,"Baumkrankheiten bekämpfen","K 0002-005","Forstwirtschaft",skos:narrowMatch,
http://data.europa.eu/esco/skill/02053349-bc3a-4945-bcf7-33d2136c14d5,"Baumkrankheiten bekämpfen","K 0002-012","Waldpflegearbeiten",skos:closeMatch,
http://data.europa.eu/esco/skill/02053349-bc3a-4945-bcf7-33d2136c14d5,"Baumkrankheiten bekämpfen","K 0003-003","Baumsanierung",skos:narrowMatch,
http://data.europa.eu/esco/skill/02053349-bc3a-4945-bcf7-33d2136c14d5,"Baumkrankheiten bekämpfen","K 0003-004","Baumpflege, Baumschnitt",skos:closeMatch,
http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,"Datenbestand migrieren","K 0700-008","Datenübernahme, Datenaufbereitung",skos:narrowMatch,
