Mapping project name,ESCO - ROME
Mapping project author,Pôle emploi - France
Mapping project version,V1.4
Mapping project version date,13/07/2022
Classification 1 Name,ESCO
Classification 1 Concept type,occupation
Classification 1 Version,1.1
Classification 1 Language,fr
Classification 1 Landing page,https://esco.ec.europa.eu/fr/classification/occupation_main
Classification 2 Name,ROME 
Classification 2 Concept type,occupation
Classification 2 Version,V3.0
Classification 2 Language,fr
Classification 2 Landing page,https://www.pole-emploi.fr/employeur/vos-recrutements/le-rome-et-les-fiches-metiers.html


classification 1 ID,classification 1 prefered label,classification 2 ID,classification 2 prefered label,mapping relation
http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,technicien agricole/technicienne agricole,13388,Conseiller / Conseillère de gestion agricole,skos:closeMatch
http://data.europa.eu/esco/occupation/e1fdca51-a0e1-4bea-822f-82a090ece780,conseiller d'élevage/conseillère d'élevage,13395,Conseiller / Conseillère d'élevage en production laitière,skos:broadMatch
http://data.europa.eu/esco/occupation/c40ef517-d4ab-4932-b184-9c2ea5b24fe2,agronome,13439,Conseiller / Conseillère en irrigation,skos:closeMatch
http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,technicien agricole/technicienne agricole,13440,Conseiller / Conseillère en machinisme agricole,skos:closeMatch
http://data.europa.eu/esco/occupation/fa32eb3f-5c9f-4668-8f85-5eefb3badab8,conseiller en sylviculture/conseillère en sylviculture,13459,Conseiller forestier / Conseillère forestière,skos:closeMatch
http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,technicien agricole/technicienne agricole,13481,Conseiller / Conseillère technique agricole,skos:closeMatch
http://data.europa.eu/esco/occupation/b9e51ff4-d7fb-4653-bc72-65086ffc6e65,conseiller viticole/conseillère viticole,13496,Conseiller / Conseillère viticole,skos:exactMatch
http://data.europa.eu/esco/occupation/c40ef517-d4ab-4932-b184-9c2ea5b24fe2,agronome,15498,Hydraulicien / Hydraulicienne en agriculture,skos:closeMatch
http://data.europa.eu/esco/occupation/fa32eb3f-5c9f-4668-8f85-5eefb3badab8,conseiller en sylviculture/conseillère en sylviculture,19657,Technicien / Technicienne arboricole,skos:closeMatch
http://data.europa.eu/esco/occupation/e1fdca51-a0e1-4bea-822f-82a090ece780,conseiller d'élevage/conseillère d'élevage,19667,Technicien / Technicienne avicole,skos:closeMatch
http://data.europa.eu/esco/occupation/e1fdca51-a0e1-4bea-822f-82a090ece780,conseiller d'élevage/conseillère d'élevage,19670,Technicien / Technicienne bâtiments d'élevage,skos:closeMatch
http://data.europa.eu/esco/occupation/e1fdca51-a0e1-4bea-822f-82a090ece780,conseiller d'élevage/conseillère d'élevage,19679,Technicien / Technicienne bovin,skos:closeMatch
http://data.europa.eu/esco/occupation/e1fdca51-a0e1-4bea-822f-82a090ece780,conseiller d'élevage/conseillère d'élevage,19683,Technicien / Technicienne caprin,skos:closeMatch
http://data.europa.eu/esco/occupation/e1fdca51-a0e1-4bea-822f-82a090ece780,conseiller d'élevage/conseillère d'élevage,19705,Technicien / Technicienne cunicole,skos:closeMatch
http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,technicien agricole/technicienne agricole,19709,Technicien / Technicienne d'agriculture,skos:exactMatch
http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,technicien agricole/technicienne agricole,19743,Technicien / Technicienne de culture maraîchère,skos:broadMatch
http://data.europa.eu/esco/occupation/c40ef517-d4ab-4932-b184-9c2ea5b24fe2,agronome,19875,Technicien / Technicienne de maintenance végétale,skos:closeMatch
http://data.europa.eu/esco/occupation/e1fdca51-a0e1-4bea-822f-82a090ece780,conseiller d'élevage/conseillère d'élevage,19900,Technicien / Technicienne de production animale,skos:closeMatch
http://data.europa.eu/esco/occupation/e1fdca51-a0e1-4bea-822f-82a090ece780,conseiller d'élevage/conseillère d'élevage,19932,Technicien / Technicienne d'élevage,skos:closeMatch
http://data.europa.eu/esco/occupation/fbf3aefb-70ff-440b-8724-bac3ed5e2c93,technicien forestier/technicienne forestière,19953,Technicien / Technicienne des travaux forestiers,skos:closeMatch
http://data.europa.eu/esco/occupation/c40ef517-d4ab-4932-b184-9c2ea5b24fe2,agronome,19968,Technicien / Technicienne d'expérimentation,skos:closeMatch
http://data.europa.eu/esco/occupation/c40ef517-d4ab-4932-b184-9c2ea5b24fe2,agronome,200083,Technicien / Technicienne de génie écologique,skos:closeMatch
http://data.europa.eu/esco/occupation/c40ef517-d4ab-4932-b184-9c2ea5b24fe2,agronome,20019,Technicien / Technicienne du génie rural,skos:closeMatch
http://data.europa.eu/esco/occupation/c40ef517-d4ab-4932-b184-9c2ea5b24fe2,agronome,20020,Technicien / Technicienne du génie sanitaire et environnement,skos:closeMatch
